,data
0,khách 1144 nhưng đơn e đặt size s giờ shop đổi cho e tại áo e mặc rộng lắm shop
1,khách 1581 lúc tối chị có chốt trên like cái này nhưng ko biết có ko sao ko thấy bên mình gọi
2,"em mặc màu cam này k hợp lắm, cho e đổi sang màu đỏ tươi dc k s"
3,khách 6073 xin gia
4,"Sốp giao nhầm mâux cho e r , em đạt set xanh cô ban mà giao set do"
5,khách 11890 dạ oki ạ
6,khách 1588 1m56 47 kg mặc size j ạ
7,khách 4710 size s bạn ơi chốt hộ m luôn đi chứ mỗi lần nt là 1 2 hôm mới tl mất 1 tuần mới chốt đx hàng
8,khách 423 e muốn mua hàng
9,khách 958 ok e
10,khách 10654 con thi bao ch nha
11,khách 737 do lau gọi tên nen e coi co hang c chuyển khoan
12,khách 2637 e ơi
13,khách 908 e đặt 2 hộp mứt
14,"E đặt mầu xanh , shop giao lộn em màu nâu đen , đổi lại cho em với ạ"
15,nguyễn tường duy dạ mẫu này còn ko ạ
16,mỹ trang thắm nói nếu ko vừa bên e cho đổi mà
17,"em nhận hàng nhưng ko đúng maaux e đặt , shop đổi lại cho e v
bữa e đặt  mẫu hồng đất mà nay lại nhận mẫu xanh này , shop ktra lại dùm e"
18,"sóp ơi giao sai mầu cho e r, em đặt mầu cam giao màu tho hoang thế ạ"
19,khách 62 mẫu này mai còn ship e lun nha shop ơi
20,e đặt trên like mà k thấy đọc tên ạ
21,khách 494 e chưa đặt trên live ạ
22,lee hong chị là người dể chịu lắm luôn lúc nào chị cũng chuyển khoảng trước cho tụi em trong khi đó hàng chị chưa nhận đc luôn chị vẫn vui vẻ
23,khách 397 lúc tối c có chốt b9 vàng mà c sợ k vừa tại eo c hơi to á e hủy mã b9 giúp c với với lại đi hàng giúp c 2 set còn lại với nhé
24,"Ủa shop , em đặt mẫu hồng sao giao mẫu lục bảo "
25,khách 13259 n ơi hơn 10 hôm rồi mà t chưa nhận được hàng vì đang cần cb đám cưới shop ktra giu p t nhea
26,my my qlo sho
27,khách 1441 váy gấu ạ
